File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Re_Init.c,Step_InitAndCheck(void),22,20,14,3,2,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Service.c,App_HwCheck(void),4,3,3,0,1,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Service.c,App_SwLogic(void),15,5,5,0,4,0,6,32,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Service.c,Mode_Check(void),36,29,15,3,2,0,5,9,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Service.c,Communication_Check(void),4,4,4,0,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Service.c,Safety_Check(void),21,14,8,3,3,0,4,14,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Spi_Check.c,SpiCheck_ExecuteVoltageChange(void),30,27,19,1,2,1,1,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Spi_Check.c,SpiCheck_SendCommand(void),6,4,4,0,2,1,0,2,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Spi_Check.c,SpiCheck_Delay(void),28,17,13,2,7,1,4,13,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Spi_Check.c,SpiCheck_Delay2(void),10,8,6,1,2,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Spi_Check.c,SpiCheck_HandleData(void),17,14,10,1,3,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Spi_Check.c,SpiCheck_Init(void),26,20,10,2,2,0,4,17,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Spi_Check.c,SpiCheck_CurrentLimitingSelect(void),21,20,10,3,0,0,1,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Spi_Check.c,Spi_Check(void),24,18,11,6,5,0,1,1,
