File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Sensing\Stall_Check.c,Stall_Check(void),16,15,7,2,0,0,1,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\AntiPinch.c,Antipinch_PrevOpen(void),149,126,94,14,21,0,2,6,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\AntiPinch.c,Antipinch_PrevClose(void),203,166,130,17,35,0,2,4,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\AntiPinch.c,Antipinch_Move(void),20,18,10,2,1,0,1,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Error_Check.c,Error_CheckAfterIGN(void),12,12,8,2,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Error_Check.c,Error_Check(void),42,30,18,4,6,0,6,24,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Error_Check.c,Error_UnknownStatus(void),15,15,15,0,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Error_Check.c,Error_CheckVoltage(void),108,101,65,18,5,0,2,10,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Error_Check.c,Error_CheckMotorFault(void),12,11,7,1,0,3,1,25,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Error_Check.c,Error_CheckShort(void),62,59,41,6,1,0,2,2,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Error_Check.c,Error_CheckOpen(void),68,61,41,6,4,0,3,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\FailSafety_Mode.c,FS_MotorOpenStart(unsigned int next_step),14,14,14,0,0,7,0,21,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\FailSafety_Mode.c,FS_CheckStallStop(unsigned int next_step),14,14,12,1,0,1,0,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\FailSafety_Mode.c,FS_Wait3m(unsigned int next_step),11,10,8,1,1,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\FailSafety_Mode.c,FS_ReInit(unsigned int next_step),3,3,3,0,0,0,0,0,
